Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 68.0.3440.106,,2018-08-21 14:51:33,2018-08-21 14:51:42,"9,111s",PASSED
,,,,,,
Test Cases/TestCase1,Chrome 68.0.3440.106,,2018-08-21 14:51:33,2018-08-21 14:51:42,"8,639s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 14:51:34,2018-08-21 14:51:36,"2,882s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 14:51:36,2018-08-21 14:51:39,"2,088s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:51:39,2018-08-21 14:51:39,"0,520s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 14:51:39,2018-08-21 14:51:39,"0,215s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-21 14:51:39,2018-08-21 14:51:40,"0,451s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:51:40,2018-08-21 14:51:40,"0,456s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:51:40,2018-08-21 14:51:40,"0,184s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 14:51:40,2018-08-21 14:51:41,"0,479s",PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-21 14:51:41,2018-08-21 14:51:42,"1,008s",PASSED
