Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 68.0.3440.106,,2018-08-21 12:35:36,2018-08-21 12:35:47,"10,927s",PASSED
,,,,,,
Test Cases/TestCase1,Chrome 68.0.3440.106,,2018-08-21 12:35:36,2018-08-21 12:35:47,"10,310s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 12:35:37,2018-08-21 12:35:41,"3,759s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 12:35:41,2018-08-21 12:35:43,"2,141s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 12:35:43,2018-08-21 12:35:44,"0,690s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 12:35:44,2018-08-21 12:35:44,"0,282s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-21 12:35:44,2018-08-21 12:35:44,"0,579s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 12:35:44,2018-08-21 12:35:45,"0,554s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 12:35:45,2018-08-21 12:35:45,"0,171s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 12:35:45,2018-08-21 12:35:46,"0,554s",PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-21 12:35:46,2018-08-21 12:35:47,"1,006s",PASSED
