Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 68.0.3440.106,,2018-08-21 09:38:34,2018-08-21 09:38:44,"9,837s",PASSED
,,,,,,
Test Cases/TestCase1,Chrome 68.0.3440.106,,2018-08-21 09:38:34,2018-08-21 09:38:44,"9,281s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 09:38:35,2018-08-21 09:38:38,"2,818s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 09:38:38,2018-08-21 09:38:40,"2,269s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 09:38:40,2018-08-21 09:38:40,"0,665s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 09:38:40,2018-08-21 09:38:41,"0,302s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-21 09:38:41,2018-08-21 09:38:41,"0,442s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 09:38:41,2018-08-21 09:38:42,"0,625s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 09:38:42,2018-08-21 09:38:42,"0,183s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 09:38:42,2018-08-21 09:38:43,"0,595s",PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-21 09:38:43,2018-08-21 09:38:44,"0,973s",PASSED
