Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 67.0.3396.99,,2018-07-30 11:45:43,2018-07-30 11:45:52,"9,541s",PASSED
,,,,,,
Test Cases/TestCase1,Chrome 67.0.3396.99,,2018-07-30 11:45:43,2018-07-30 11:45:52,"9,050s",PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-30 11:45:43,2018-07-30 11:45:46,"2,835s",PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-30 11:45:46,2018-07-30 11:45:49,"2,525s",PASSED
click,Chrome 67.0.3396.99,,2018-07-30 11:45:49,2018-07-30 11:45:49,"0,486s",PASSED
setText,Chrome 67.0.3396.99,,2018-07-30 11:45:49,2018-07-30 11:45:49,"0,240s",PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-30 11:45:49,2018-07-30 11:45:50,"0,443s",PASSED
click,Chrome 67.0.3396.99,,2018-07-30 11:45:50,2018-07-30 11:45:50,"0,440s",PASSED
click,Chrome 67.0.3396.99,,2018-07-30 11:45:50,2018-07-30 11:45:51,"0,213s",PASSED
click,Chrome 67.0.3396.99,,2018-07-30 11:45:51,2018-07-30 11:45:51,"0,418s",PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-30 11:45:51,2018-07-30 11:45:52,"1,028s",PASSED
