Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 68.0.3440.106,,2018-08-21 12:37:14,2018-08-21 12:37:25,"10,743s",PASSED
,,,,,,
Test Cases/TestCase1,Chrome 68.0.3440.106,,2018-08-21 12:37:15,2018-08-21 12:37:25,"9,738s",PASSED
openBrowser,Chrome 68.0.3440.106,,2018-08-21 12:37:16,2018-08-21 12:37:20,"3,488s",PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-08-21 12:37:20,2018-08-21 12:37:22,"2,333s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 12:37:22,2018-08-21 12:37:23,"0,608s",PASSED
setText,Chrome 68.0.3440.106,,2018-08-21 12:37:23,2018-08-21 12:37:23,"0,167s",PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-08-21 12:37:23,2018-08-21 12:37:23,"0,384s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 12:37:23,2018-08-21 12:37:24,"0,414s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 12:37:24,2018-08-21 12:37:24,"0,136s",PASSED
click,Chrome 68.0.3440.106,,2018-08-21 12:37:24,2018-08-21 12:37:24,"0,398s",PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-08-21 12:37:24,2018-08-21 12:37:25,"0,975s",PASSED
